-----------------------------------
SNR	 delta	 Complete	 BER
30,	 0.01,	 8.47e-1,	 9.72e-4
30,	 0.02,	 9.32e-1,	 4.02e-4
30,	 0.03,	 9.38e-1,	 2.00e-4
30,	 0.04,	 9.63e-1,	 3.08e-4
30,	 0.05,	 9.71e-1,	 5.42e-4
30,	 0.06,	 9.80e-1,	 6.04e-4
30,	 0.07,	 9.85e-1,	 1.43e-3
30,	 0.08,	 9.91e-1,	 1.13e-3
30,	 0.09,	 9.96e-1,	 5.07e-4
30,	 0.10,	 9.95e-1,	 8.31e-4
30,	 0.11,	 9.97e-1,	 6.94e-4
30,	 0.12,	 9.91e-1,	 2.22e-3
27,	 0.01,	 5.77e-1,	 1.00e-3
27,	 0.02,	 8.09e-1,	 6.50e-4
27,	 0.03,	 9.06e-1,	 3.48e-4
27,	 0.04,	 9.24e-1,	 2.59e-4
27,	 0.05,	 9.64e-1,	 4.38e-4
27,	 0.06,	 9.64e-1,	 5.38e-4
27,	 0.07,	 9.71e-1,	 3.53e-4
27,	 0.08,	 9.81e-1,	 3.82e-4
27,	 0.09,	 9.77e-1,	 2.24e-3
27,	 0.10,	 9.85e-1,	 7.94e-4
27,	 0.11,	 9.79e-1,	 1.36e-3
27,	 0.12,	 9.91e-1,	 3.19e-3
24,	 0.01,	 2.24e-1,	 5.55e-4
24,	 0.02,	 5.85e-1,	 5.43e-4
24,	 0.03,	 7.52e-1,	 4.44e-4
24,	 0.04,	 8.45e-1,	 1.69e-4
24,	 0.05,	 8.96e-1,	 8.37e-5
24,	 0.06,	 9.13e-1,	 3.49e-4
24,	 0.07,	 9.33e-1,	 9.09e-4
24,	 0.08,	 9.39e-1,	 1.35e-3
24,	 0.09,	 9.56e-1,	 6.54e-4
24,	 0.10,	 9.64e-1,	 9.84e-4
24,	 0.11,	 9.60e-1,	 1.63e-3
24,	 0.12,	 9.73e-1,	 1.52e-3
21,	 0.01,	 2.31e-2,	 1.80e-3
21,	 0.02,	 2.45e-1,	 4.42e-4
21,	 0.03,	 4.47e-1,	 1.05e-3
21,	 0.04,	 5.87e-1,	 6.02e-4
21,	 0.05,	 6.90e-1,	 3.88e-4
21,	 0.06,	 7.74e-1,	 2.96e-4
21,	 0.07,	 7.84e-1,	 5.12e-4
21,	 0.08,	 8.60e-1,	 6.38e-4
21,	 0.09,	 8.85e-1,	 4.80e-4
21,	 0.10,	 8.74e-1,	 7.06e-4
21,	 0.11,	 9.11e-1,	 1.32e-3
21,	 0.12,	 9.31e-1,	 1.48e-3
21,	 0.13,	 9.35e-1,	 2.85e-3
21,	 0.14,	 9.49e-1,	 2.42e-3
21,	 0.15,	 9.43e-1,	 4.11e-3
